way_id,u,v,distance,highway,hour,weekday,travel_time
1,node_A,node_B,120,footway,8,2,45
1,node_A,node_B,120,footway,9,2,50
1,node_A,node_B,120,footway,10,2,48
1,node_A,node_B,120,footway,11,2,55
1,node_A,node_B,120,footway,12,2,65
1,node_A,node_B,120,footway,13,2,60
1,node_A,node_B,120,footway,14,2,58
1,node_A,node_B,120,footway,15,2,52
1,node_A,node_B,120,footway,16,2,48
1,node_A,node_B,120,footway,17,2,46
2,node_B,node_C,85,residential,8,2,38
2,node_B,node_C,85,residential,9,2,42
2,node_B,node_C,85,residential,10,2,40
2,node_B,node_C,85,residential,11,2,44
2,node_B,node_C,85,residential,12,2,50
2,node_B,node_C,85,residential,13,2,48
2,node_B,node_C,85,residential,14,2,46
2,node_B,node_C,85,residential,15,2,42
2,node_B,node_C,85,residential,16,2,39
2,node_B,node_C,85,residential,17,2,37
3,node_C,node_D,150,service,8,2,55
3,node_C,node_D,150,service,9,2,60
3,node_C,node_D,150,service,10,2,58
3,node_C,node_D,150,service,11,2,65
3,node_C,node_D,150,service,12,2,75
3,node_C,node_D,150,service,13,2,70
3,node_C,node_D,150,service,14,2,68
3,node_C,node_D,150,service,15,2,62
3,node_C,node_D,150,service,16,2,56
3,node_C,node_D,150,service,17,2,52
1,node_1_A,node_1_B,357,footway,0,0,276.0
1,node_1_A,node_1_B,357,footway,1,0,264.5
1,node_1_A,node_1_B,357,footway,2,0,266.9
1,node_1_A,node_1_B,357,footway,3,0,246.1
1,node_1_A,node_1_B,357,footway,4,0,249.6
1,node_1_A,node_1_B,357,footway,5,0,244.6
1,node_1_A,node_1_B,357,footway,6,0,285.2
1,node_1_A,node_1_B,357,footway,7,0,277.4
1,node_1_A,node_1_B,357,footway,8,0,300.0
1,node_1_A,node_1_B,357,footway,9,0,286.8
1,node_1_A,node_1_B,357,footway,10,0,266.2
1,node_1_A,node_1_B,357,footway,11,0,281.4
1,node_1_A,node_1_B,357,footway,12,0,270.0
1,node_1_A,node_1_B,357,footway,13,0,251.0
1,node_1_A,node_1_B,357,footway,14,0,258.2
1,node_1_A,node_1_B,357,footway,15,0,278.9
1,node_1_A,node_1_B,357,footway,16,0,270.0
1,node_1_A,node_1_B,357,footway,17,0,264.4
1,node_1_A,node_1_B,357,footway,18,0,297.4
1,node_1_A,node_1_B,357,footway,19,0,254.0
1,node_1_A,node_1_B,357,footway,20,0,252.0
1,node_1_A,node_1_B,357,footway,21,0,263.3
1,node_1_A,node_1_B,357,footway,22,0,270.3
1,node_1_A,node_1_B,357,footway,23,0,237.7
1,node_1_A,node_1_B,357,footway,0,1,261.8
1,node_1_A,node_1_B,357,footway,1,1,272.8
1,node_1_A,node_1_B,357,footway,2,1,272.7
1,node_1_A,node_1_B,357,footway,3,1,241.9
1,node_1_A,node_1_B,357,footway,4,1,252.4
1,node_1_A,node_1_B,357,footway,5,1,247.8
1,node_1_A,node_1_B,357,footway,6,1,256.9
1,node_1_A,node_1_B,357,footway,7,1,272.3
1,node_1_A,node_1_B,357,footway,8,1,257.9
1,node_1_A,node_1_B,357,footway,9,1,279.3
